point_A,point_B,heure_depart,jour_semaine,meteo,moyen_transport,distance_km,indice_trafic,duree_min,prob_accident
Etoile,Fidjrosse,11,Semaine,Ensoleillé,Zem,7.91,1.25,17.0,0.04
Akpakpa,Cadjehoun,6,Weekend,Ensoleillé,Zem,6.19,1.0,10.6,0.04
Etoile,Calavi,8,Weekend,Ensoleillé,Voiture,12.72,1.0,17.0,0.01
Calavi,Etoile,5,Semaine,Pluie Légère,Bus,12.72,1.43,45.6,0.005
Zongo,Akpakpa,20,Weekend,Ensoleillé,Zem,3.38,1.0,5.8,0.04
Cadjehoun,Zongo,3,Semaine,Pluie Légère,Voiture,2.81,1.45,6.8,0.01
Etoile,Calavi,9,Semaine,Pluie Légère,Voiture,12.72,3.89,82.4,0.01
Etoile,Akpakpa,4,Semaine,Ensoleillé,Voiture,2.12,1.21,3.4,0.01
Etoile,Calavi,21,Semaine,Pluie Légère,Zem,12.72,1.33,36.4,0.04
Zongo,Akpakpa,9,Semaine,Ensoleillé,Zem,3.38,2.65,15.3,0.04
Fidjrosse,Calavi,11,Semaine,Pluie Légère,Voiture,9.53,1.14,18.1,0.01
Akpakpa,Calavi,12,Semaine,Ensoleillé,Zem,14.46,1.3,32.3,0.04
Etoile,Zongo,10,Semaine,Ensoleillé,Zem,1.45,1.29,3.2,0.04
Cadjehoun,Etoile,21,Semaine,Forte Pluie,Zem,4.18,1.24,17.7,0.16
Etoile,Fidjrosse,15,Semaine,Pluie Légère,Voiture,7.91,1.25,16.5,0.01
Cadjehoun,Fidjrosse,7,Weekend,Ensoleillé,Voiture,3.92,1.0,5.2,0.01
Calavi,Akpakpa,7,Weekend,Ensoleillé,Voiture,14.46,1.0,19.3,0.01
Calavi,Akpakpa,12,Weekend,Pluie Légère,Zem,14.46,1.0,31.0,0.04
Cadjehoun,Zongo,1,Semaine,Ensoleillé,Voiture,2.81,1.28,4.8,0.01
Etoile,Zongo,11,Semaine,Ensoleillé,Zem,1.45,1.59,4.0,0.04
Calavi,Cadjehoun,9,Weekend,Pluie Légère,Zem,11.27,1.0,24.2,0.04
Cadjehoun,Etoile,14,Semaine,Ensoleillé,Bus,4.18,1.49,12.5,0.005
Etoile,Akpakpa,15,Semaine,Pluie Légère,Voiture,2.12,1.14,4.0,0.01
Cadjehoun,Etoile,16,Weekend,Ensoleillé,Voiture,4.18,1.0,5.6,0.01
Cadjehoun,Zongo,1,Semaine,Pluie Légère,Zem,2.81,1.54,9.3,0.04
Calavi,Etoile,17,Semaine,Ensoleillé,Voiture,12.72,3.34,56.6,0.01
Calavi,Etoile,18,Weekend,Ensoleillé,Zem,12.72,1.0,21.8,0.04
Calavi,Zongo,22,Weekend,Ensoleillé,Zem,12.45,1.0,21.3,0.04
Etoile,Calavi,17,Semaine,Pluie Légère,Voiture,12.72,3.8,80.6,0.01
Akpakpa,Etoile,16,Weekend,Ensoleillé,Voiture,2.12,1.0,2.8,0.01
Calavi,Cadjehoun,5,Semaine,Pluie Légère,Voiture,11.27,1.27,23.9,0.01
Zongo,Etoile,2,Semaine,Forte Pluie,Bus,1.45,1.33,7.7,0.01
Cadjehoun,Calavi,5,Semaine,Pluie Légère,Zem,11.27,1.55,37.4,0.04
Cadjehoun,Fidjrosse,0,Semaine,Ensoleillé,Zem,3.92,1.24,8.3,0.04
Akpakpa,Calavi,12,Semaine,Ensoleillé,Zem,14.46,1.56,38.6,0.04
Etoile,Cadjehoun,20,Semaine,Ensoleillé,Voiture,4.18,1.51,8.4,0.01
Etoile,Fidjrosse,12,Semaine,Ensoleillé,Voiture,7.91,1.59,16.8,0.01
Zongo,Fidjrosse,3,Semaine,Pluie Légère,Zem,6.66,1.26,18.0,0.04
Akpakpa,Zongo,6,Weekend,Pluie Légère,Bus,3.38,1.0,8.4,0.005
Zongo,Fidjrosse,21,Weekend,Ensoleillé,Zem,6.66,1.0,11.4,0.04
Zongo,Cadjehoun,9,Semaine,Pluie Légère,Zem,2.81,2.62,15.8,0.04
Akpakpa,Cadjehoun,6,Weekend,Pluie Légère,Voiture,6.19,1.0,10.3,0.01
Akpakpa,Cadjehoun,14,Semaine,Ensoleillé,Zem,6.19,1.27,13.4,0.04
Akpakpa,Calavi,14,Weekend,Ensoleillé,Zem,14.46,1.0,24.8,0.04
Etoile,Fidjrosse,3,Semaine,Ensoleillé,Voiture,7.91,1.58,16.6,0.01
Fidjrosse,Cadjehoun,22,Weekend,Pluie Légère,Zem,3.92,1.0,8.4,0.04
Fidjrosse,Zongo,22,Semaine,Pluie Légère,Zem,6.66,1.27,18.1,0.04
Fidjrosse,Akpakpa,19,Semaine,Ensoleillé,Zem,10.0,3.22,55.2,0.04
Akpakpa,Fidjrosse,4,Semaine,Pluie Légère,Zem,10.0,1.3,27.9,0.04
Fidjrosse,Zongo,19,Weekend,Forte Pluie,Bus,6.66,1.0,26.6,0.01
Zongo,Akpakpa,11,Semaine,Pluie Légère,Bus,3.38,1.3,11.0,0.005
Cadjehoun,Etoile,0,Weekend,Pluie Légère,Zem,4.18,1.0,9.0,0.04
Cadjehoun,Calavi,7,Semaine,Ensoleillé,Zem,11.27,2.55,49.2,0.04
Akpakpa,Calavi,0,Semaine,Ensoleillé,Zem,14.46,1.37,33.9,0.04
Etoile,Fidjrosse,4,Semaine,Pluie Légère,Zem,7.91,1.52,25.8,0.04
Akpakpa,Etoile,21,Semaine,Ensoleillé,Voiture,2.12,1.12,3.2,0.01
Etoile,Akpakpa,5,Weekend,Ensoleillé,Voiture,2.12,1.0,2.8,0.01
Cadjehoun,Etoile,20,Semaine,Pluie Légère,Zem,4.18,1.54,13.8,0.04
Akpakpa,Etoile,2,Semaine,Ensoleillé,Zem,2.12,1.43,5.2,0.04
Calavi,Akpakpa,14,Semaine,Forte Pluie,Zem,14.46,1.41,69.8,0.16
Fidjrosse,Etoile,23,Weekend,Pluie Légère,Zem,7.91,1.0,16.9,0.04
Calavi,Zongo,17,Semaine,Pluie Légère,Voiture,12.45,3.33,69.0,0.01
Fidjrosse,Etoile,15,Weekend,Pluie Légère,Voiture,7.91,1.0,13.2,0.01
Fidjrosse,Etoile,5,Weekend,Pluie Légère,Zem,7.91,1.0,16.9,0.04
Akpakpa,Etoile,23,Semaine,Ensoleillé,Voiture,2.12,1.25,3.5,0.01
Fidjrosse,Calavi,13,Semaine,Pluie Légère,Zem,9.53,1.31,26.7,0.04
Zongo,Cadjehoun,23,Semaine,Pluie Légère,Zem,2.81,1.5,9.0,0.04
Calavi,Zongo,7,Semaine,Ensoleillé,Voiture,12.45,2.75,45.7,0.01
Fidjrosse,Etoile,6,Weekend,Ensoleillé,Zem,7.91,1.0,13.6,0.04
Akpakpa,Calavi,7,Semaine,Pluie Légère,Voiture,14.46,3.05,73.4,0.01
Cadjehoun,Fidjrosse,5,Semaine,Forte Pluie,Bus,3.92,1.11,17.4,0.01
Calavi,Fidjrosse,17,Semaine,Forte Pluie,Bus,9.53,3.52,134.2,0.01
Fidjrosse,Etoile,1,Semaine,Ensoleillé,Zem,7.91,1.31,17.7,0.04
Akpakpa,Calavi,7,Semaine,Pluie Légère,Bus,14.46,3.15,113.7,0.005
Cadjehoun,Calavi,10,Semaine,Ensoleillé,Voiture,11.27,1.16,17.4,0.01
Cadjehoun,Zongo,0,Semaine,Pluie Légère,Voiture,2.81,1.6,7.5,0.01
Etoile,Zongo,21,Semaine,Ensoleillé,Zem,1.45,1.25,3.1,0.04
Zongo,Calavi,5,Semaine,Pluie Légère,Voiture,12.45,1.42,29.4,0.01
Fidjrosse,Zongo,15,Semaine,Ensoleillé,Zem,6.66,1.39,15.9,0.04
Akpakpa,Calavi,19,Semaine,Ensoleillé,Voiture,14.46,3.61,69.7,0.01
Etoile,Cadjehoun,11,Semaine,Ensoleillé,Zem,4.18,1.25,8.9,0.04
Zongo,Calavi,10,Semaine,Ensoleillé,Voiture,12.45,1.48,24.5,0.01
Etoile,Fidjrosse,9,Semaine,Ensoleillé,Zem,7.91,2.89,39.2,0.04
Calavi,Zongo,2,Semaine,Ensoleillé,Zem,12.45,1.31,27.9,0.04
Zongo,Calavi,12,Weekend,Ensoleillé,Zem,12.45,1.0,21.3,0.04
Zongo,Calavi,2,Weekend,Pluie Légère,Zem,12.45,1.0,26.7,0.04
Fidjrosse,Zongo,14,Weekend,Pluie Légère,Zem,6.66,1.0,14.3,0.04
Zongo,Cadjehoun,15,Semaine,Pluie Légère,Zem,2.81,1.44,8.6,0.04
Etoile,Cadjehoun,12,Weekend,Forte Pluie,Voiture,4.18,1.0,11.1,0.02
Fidjrosse,Akpakpa,2,Semaine,Ensoleillé,Voiture,10.0,1.49,19.9,0.01
Fidjrosse,Zongo,19,Semaine,Ensoleillé,Zem,6.66,3.4,38.8,0.04
Calavi,Zongo,10,Weekend,Pluie Légère,Zem,12.45,1.0,26.7,0.04
Etoile,Cadjehoun,20,Semaine,Forte Pluie,Zem,4.18,1.55,22.2,0.16
Cadjehoun,Zongo,21,Weekend,Ensoleillé,Voiture,2.81,1.0,3.7,0.01
Calavi,Zongo,15,Semaine,Pluie Légère,Zem,12.45,1.24,33.1,0.04
Akpakpa,Cadjehoun,20,Semaine,Pluie Légère,Voiture,6.19,1.55,16.0,0.01
Calavi,Zongo,21,Weekend,Ensoleillé,Voiture,12.45,1.0,16.6,0.01
Etoile,Akpakpa,13,Semaine,Pluie Légère,Zem,2.12,1.17,5.3,0.04
Etoile,Fidjrosse,23,Weekend,Ensoleillé,Zem,7.91,1.0,13.6,0.04
Etoile,Akpakpa,17,Semaine,Pluie Légère,Zem,2.12,3.39,15.4,0.04
Calavi,Fidjrosse,3,Semaine,Pluie Légère,Zem,9.53,1.37,28.1,0.04
Calavi,Zongo,22,Semaine,Pluie Légère,Voiture,12.45,1.35,28.0,0.01
Fidjrosse,Etoile,14,Semaine,Ensoleillé,Zem,7.91,1.26,17.0,0.04
Cadjehoun,Zongo,10,Semaine,Ensoleillé,Zem,2.81,1.35,6.5,0.04
Etoile,Cadjehoun,2,Semaine,Pluie Légère,Zem,4.18,1.18,10.6,0.04
Akpakpa,Calavi,2,Semaine,Ensoleillé,Zem,14.46,1.28,31.8,0.04
Calavi,Etoile,15,Semaine,Pluie Légère,Zem,12.72,1.15,31.3,0.04
Akpakpa,Cadjehoun,4,Weekend,Pluie Légère,Voiture,6.19,1.0,10.3,0.01
Akpakpa,Etoile,20,Weekend,Pluie Légère,Voiture,2.12,1.0,3.5,0.01
Akpakpa,Etoile,9,Semaine,Ensoleillé,Zem,2.12,3.23,11.7,0.04
Fidjrosse,Cadjehoun,18,Semaine,Ensoleillé,Voiture,3.92,2.37,12.4,0.01
Calavi,Fidjrosse,3,Semaine,Pluie Légère,Zem,9.53,1.18,24.1,0.04
Etoile,Zongo,10,Semaine,Pluie Légère,Zem,1.45,1.14,3.5,0.04
Zongo,Etoile,1,Weekend,Pluie Légère,Zem,1.45,1.0,3.1,0.04
Akpakpa,Zongo,9,Semaine,Ensoleillé,Voiture,3.38,2.89,13.0,0.01
Fidjrosse,Calavi,10,Weekend,Pluie Légère,Zem,9.53,1.0,20.4,0.04
Calavi,Cadjehoun,19,Weekend,Ensoleillé,Zem,11.27,1.0,19.3,0.04
Fidjrosse,Zongo,15,Weekend,Ensoleillé,Zem,6.66,1.0,11.4,0.04
Akpakpa,Cadjehoun,18,Semaine,Forte Pluie,Zem,6.19,3.72,78.8,0.16
Calavi,Zongo,22,Semaine,Forte Pluie,Zem,12.45,1.55,66.3,0.16
Zongo,Akpakpa,23,Semaine,Ensoleillé,Voiture,3.38,1.14,5.1,0.01
Fidjrosse,Akpakpa,13,Semaine,Ensoleillé,Voiture,10.0,1.42,18.9,0.01
Cadjehoun,Akpakpa,1,Semaine,Ensoleillé,Zem,6.19,1.44,15.3,0.04
Etoile,Akpakpa,22,Semaine,Ensoleillé,Zem,2.12,1.37,5.0,0.04
Fidjrosse,Akpakpa,4,Semaine,Forte Pluie,Zem,10.0,1.43,49.1,0.16
Calavi,Cadjehoun,4,Semaine,Ensoleillé,Zem,11.27,1.22,23.5,0.04
Akpakpa,Etoile,18,Semaine,Ensoleillé,Voiture,2.12,3.08,8.7,0.01
Etoile,Zongo,20,Weekend,Ensoleillé,Zem,1.45,1.0,2.5,0.04
Calavi,Cadjehoun,17,Semaine,Ensoleillé,Zem,11.27,2.9,56.1,0.04
Akpakpa,Cadjehoun,3,Semaine,Ensoleillé,Zem,6.19,1.14,12.1,0.04
Etoile,Zongo,9,Semaine,Pluie Légère,Zem,1.45,3.33,10.3,0.04
Calavi,Etoile,19,Semaine,Ensoleillé,Zem,12.72,3.09,67.4,0.04
Cadjehoun,Fidjrosse,5,Semaine,Pluie Légère,Zem,3.92,1.24,10.4,0.04
Fidjrosse,Cadjehoun,13,Semaine,Ensoleillé,Voiture,3.92,1.34,7.0,0.01
Akpakpa,Fidjrosse,10,Weekend,Pluie Légère,Voiture,10.0,1.0,16.7,0.01
Zongo,Calavi,10,Weekend,Ensoleillé,Zem,12.45,1.0,21.3,0.04
Fidjrosse,Etoile,21,Semaine,Pluie Légère,Bus,7.91,1.49,29.4,0.005
Akpakpa,Zongo,17,Semaine,Pluie Légère,Voiture,3.38,3.64,20.5,0.01
Cadjehoun,Fidjrosse,23,Semaine,Ensoleillé,Zem,3.92,1.42,9.6,0.04
Cadjehoun,Zongo,22,Semaine,Pluie Légère,Voiture,2.81,1.33,6.2,0.01
Calavi,Akpakpa,20,Weekend,Ensoleillé,Zem,14.46,1.0,24.8,0.04
Akpakpa,Zongo,4,Semaine,Pluie Légère,Zem,3.38,1.39,10.0,0.04
Calavi,Akpakpa,8,Semaine,Ensoleillé,Voiture,14.46,2.89,55.8,0.01
Cadjehoun,Zongo,21,Semaine,Ensoleillé,Voiture,2.81,1.16,4.4,0.01
Zongo,Fidjrosse,9,Weekend,Ensoleillé,Zem,6.66,1.0,11.4,0.04
Etoile,Fidjrosse,21,Weekend,Ensoleillé,Voiture,7.91,1.0,10.5,0.01
Cadjehoun,Akpakpa,18,Semaine,Ensoleillé,Voiture,6.19,2.89,23.9,0.01
Calavi,Zongo,0,Semaine,Ensoleillé,Voiture,12.45,1.37,22.7,0.01
Fidjrosse,Zongo,3,Semaine,Ensoleillé,Voiture,6.66,1.4,12.4,0.01
Fidjrosse,Cadjehoun,0,Semaine,Ensoleillé,Bus,3.92,1.57,12.3,0.005
Akpakpa,Calavi,14,Semaine,Ensoleillé,Voiture,14.46,1.49,28.7,0.01
Calavi,Etoile,7,Semaine,Pluie Légère,Voiture,12.72,2.47,52.4,0.01
Zongo,Fidjrosse,11,Semaine,Ensoleillé,Zem,6.66,1.19,13.6,0.04
Cadjehoun,Fidjrosse,21,Semaine,Ensoleillé,Zem,3.92,1.15,7.7,0.04
Calavi,Fidjrosse,17,Semaine,Ensoleillé,Zem,9.53,3.53,57.6,0.04
Calavi,Etoile,14,Semaine,Ensoleillé,Zem,12.72,1.45,31.7,0.04
Akpakpa,Fidjrosse,13,Semaine,Ensoleillé,Voiture,10.0,1.59,21.2,0.01
Akpakpa,Cadjehoun,13,Weekend,Forte Pluie,Voiture,6.19,1.0,16.5,0.02
Etoile,Zongo,17,Weekend,Ensoleillé,Zem,1.45,1.0,2.5,0.04
Fidjrosse,Zongo,19,Semaine,Ensoleillé,Voiture,6.66,3.14,27.9,0.01
Zongo,Calavi,15,Semaine,Ensoleillé,Zem,12.45,1.51,32.3,0.04
Fidjrosse,Cadjehoun,0,Semaine,Pluie Légère,Zem,3.92,1.39,11.7,0.04
Etoile,Calavi,22,Weekend,Ensoleillé,Zem,12.72,1.0,21.8,0.04
Fidjrosse,Akpakpa,14,Semaine,Ensoleillé,Voiture,10.0,1.54,20.5,0.01
Etoile,Akpakpa,11,Semaine,Ensoleillé,Zem,2.12,1.46,5.3,0.04
Fidjrosse,Akpakpa,7,Semaine,Pluie Légère,Bus,10.0,3.36,83.9,0.005
Fidjrosse,Cadjehoun,19,Semaine,Ensoleillé,Zem,3.92,3.22,21.6,0.04
Etoile,Akpakpa,2,Semaine,Ensoleillé,Zem,2.12,1.46,5.3,0.04
Akpakpa,Calavi,12,Semaine,Pluie Légère,Zem,14.46,1.31,40.6,0.04
Akpakpa,Etoile,12,Semaine,Ensoleillé,Voiture,2.12,1.15,3.2,0.01
Cadjehoun,Calavi,1,Weekend,Pluie Légère,Zem,11.27,1.0,24.2,0.04
Fidjrosse,Akpakpa,16,Semaine,Ensoleillé,Voiture,10.0,1.12,14.9,0.01
Etoile,Akpakpa,5,Semaine,Ensoleillé,Zem,2.12,1.34,4.9,0.04
Akpakpa,Cadjehoun,1,Weekend,Ensoleillé,Voiture,6.19,1.0,8.2,0.01
Akpakpa,Calavi,3,Semaine,Ensoleillé,Zem,14.46,1.4,34.7,0.04
Calavi,Cadjehoun,10,Semaine,Ensoleillé,Bus,11.27,1.14,25.7,0.005
Cadjehoun,Zongo,7,Semaine,Ensoleillé,Zem,2.81,2.72,13.1,0.04
Fidjrosse,Etoile,11,Weekend,Pluie Légère,Bus,7.91,1.0,19.8,0.005
Cadjehoun,Fidjrosse,10,Weekend,Ensoleillé,Bus,3.92,1.0,7.8,0.005
Akpakpa,Cadjehoun,21,Weekend,Ensoleillé,Voiture,6.19,1.0,8.2,0.01
Etoile,Calavi,19,Semaine,Pluie Légère,Zem,12.72,2.78,75.8,0.04
Etoile,Zongo,7,Semaine,Forte Pluie,Voiture,1.45,3.21,12.4,0.02
Akpakpa,Zongo,7,Semaine,Pluie Légère,Zem,3.38,2.7,19.5,0.04
Cadjehoun,Etoile,16,Weekend,Ensoleillé,Zem,4.18,1.0,7.2,0.04
Akpakpa,Cadjehoun,19,Weekend,Ensoleillé,Zem,6.19,1.0,10.6,0.04
Calavi,Fidjrosse,19,Semaine,Ensoleillé,Zem,9.53,2.37,38.7,0.04
Etoile,Cadjehoun,22,Semaine,Ensoleillé,Voiture,4.18,1.18,6.6,0.01
Zongo,Akpakpa,15,Semaine,Forte Pluie,Voiture,3.38,1.19,10.7,0.02
Zongo,Cadjehoun,13,Weekend,Pluie Légère,Bus,2.81,1.0,7.0,0.005
Fidjrosse,Akpakpa,10,Semaine,Forte Pluie,Zem,10.0,1.52,52.2,0.16
Akpakpa,Fidjrosse,15,Semaine,Pluie Légère,Bus,10.0,1.24,31.1,0.005
Fidjrosse,Calavi,12,Weekend,Pluie Légère,Zem,9.53,1.0,20.4,0.04
Fidjrosse,Etoile,14,Semaine,Pluie Légère,Zem,7.91,1.46,24.7,0.04
Fidjrosse,Cadjehoun,23,Semaine,Ensoleillé,Voiture,3.92,1.38,7.2,0.01
Etoile,Akpakpa,15,Semaine,Ensoleillé,Voiture,2.12,1.59,4.5,0.01
Calavi,Cadjehoun,20,Semaine,Pluie Légère,Voiture,11.27,1.24,23.2,0.01
Akpakpa,Calavi,22,Weekend,Ensoleillé,Voiture,14.46,1.0,19.3,0.01
Fidjrosse,Calavi,8,Semaine,Ensoleillé,Zem,9.53,2.49,40.6,0.04
Akpakpa,Etoile,2,Semaine,Pluie Légère,Voiture,2.12,1.13,4.0,0.01
Etoile,Zongo,18,Semaine,Pluie Légère,Zem,1.45,2.63,8.2,0.04
Calavi,Etoile,19,Semaine,Pluie Légère,Voiture,12.72,3.43,72.7,0.01
Etoile,Fidjrosse,4,Weekend,Ensoleillé,Voiture,7.91,1.0,10.5,0.01
Fidjrosse,Akpakpa,16,Semaine,Pluie Légère,Bus,10.0,1.14,28.6,0.005
Calavi,Zongo,14,Semaine,Ensoleillé,Zem,12.45,1.22,26.1,0.04
Akpakpa,Fidjrosse,22,Semaine,Pluie Légère,Voiture,10.0,1.53,25.5,0.01
Fidjrosse,Cadjehoun,7,Semaine,Ensoleillé,Voiture,3.92,3.25,17.0,0.01
Akpakpa,Calavi,14,Semaine,Ensoleillé,Bus,14.46,1.13,32.8,0.005
Zongo,Akpakpa,20,Semaine,Ensoleillé,Voiture,3.38,1.12,5.1,0.01
Cadjehoun,Etoile,13,Weekend,Pluie Légère,Zem,4.18,1.0,9.0,0.04
Calavi,Akpakpa,19,Semaine,Ensoleillé,Bus,14.46,2.31,66.8,0.005
Cadjehoun,Zongo,20,Weekend,Ensoleillé,Zem,2.81,1.0,4.8,0.04
Calavi,Zongo,22,Semaine,Ensoleillé,Voiture,12.45,1.57,26.1,0.01
Fidjrosse,Calavi,11,Weekend,Forte Pluie,Voiture,9.53,1.0,25.4,0.02
Akpakpa,Calavi,16,Semaine,Forte Pluie,Zem,14.46,1.52,75.6,0.16
Etoile,Calavi,9,Semaine,Ensoleillé,Voiture,12.72,3.72,63.1,0.01
Akpakpa,Calavi,18,Semaine,Ensoleillé,Voiture,14.46,3.86,74.5,0.01
Akpakpa,Fidjrosse,10,Weekend,Pluie Légère,Zem,10.0,1.0,21.4,0.04
Zongo,Calavi,17,Semaine,Ensoleillé,Voiture,12.45,3.11,51.6,0.01
Etoile,Fidjrosse,6,Semaine,Pluie Légère,Voiture,7.91,1.22,16.1,0.01
Fidjrosse,Akpakpa,11,Semaine,Ensoleillé,Zem,10.0,1.3,22.3,0.04
Akpakpa,Calavi,1,Semaine,Pluie Légère,Zem,14.46,1.46,45.2,0.04
Akpakpa,Etoile,19,Semaine,Ensoleillé,Zem,2.12,3.78,13.7,0.04
Etoile,Zongo,17,Weekend,Ensoleillé,Voiture,1.45,1.0,1.9,0.01
Fidjrosse,Zongo,5,Weekend,Forte Pluie,Zem,6.66,1.0,22.8,0.16
Fidjrosse,Cadjehoun,23,Semaine,Ensoleillé,Zem,3.92,1.32,8.9,0.04
Calavi,Cadjehoun,9,Semaine,Ensoleillé,Zem,11.27,3.16,61.1,0.04
Calavi,Zongo,19,Weekend,Pluie Légère,Voiture,12.45,1.0,20.7,0.01
Calavi,Zongo,14,Weekend,Ensoleillé,Zem,12.45,1.0,21.3,0.04
Calavi,Etoile,4,Semaine,Ensoleillé,Zem,12.72,1.57,34.1,0.04
Calavi,Fidjrosse,19,Weekend,Pluie Légère,Bus,9.53,1.0,23.8,0.005
Calavi,Cadjehoun,2,Semaine,Ensoleillé,Zem,11.27,1.15,22.3,0.04
Zongo,Fidjrosse,4,Weekend,Ensoleillé,Zem,6.66,1.0,11.4,0.04
Fidjrosse,Etoile,7,Semaine,Ensoleillé,Bus,7.91,3.75,59.4,0.005
Calavi,Zongo,7,Semaine,Ensoleillé,Zem,12.45,2.49,53.1,0.04
Fidjrosse,Calavi,7,Weekend,Pluie Légère,Voiture,9.53,1.0,15.9,0.01
Cadjehoun,Zongo,23,Semaine,Ensoleillé,Voiture,2.81,1.34,5.0,0.01
Calavi,Akpakpa,7,Weekend,Forte Pluie,Voiture,14.46,1.0,38.6,0.02
Akpakpa,Fidjrosse,10,Weekend,Ensoleillé,Zem,10.0,1.0,17.1,0.04
Etoile,Calavi,13,Weekend,Pluie Légère,Zem,12.72,1.0,27.3,0.04
Akpakpa,Fidjrosse,7,Semaine,Ensoleillé,Voiture,10.0,2.59,34.6,0.01
Etoile,Calavi,9,Semaine,Forte Pluie,Zem,12.72,3.29,143.3,0.16
Zongo,Etoile,6,Semaine,Ensoleillé,Voiture,1.45,1.38,2.7,0.01
Fidjrosse,Akpakpa,16,Weekend,Ensoleillé,Zem,10.0,1.0,17.1,0.04
Etoile,Zongo,3,Semaine,Ensoleillé,Voiture,1.45,1.29,2.5,0.01
Fidjrosse,Cadjehoun,12,Semaine,Ensoleillé,Zem,3.92,1.53,10.3,0.04
Akpakpa,Cadjehoun,3,Semaine,Ensoleillé,Voiture,6.19,1.43,11.8,0.01
Etoile,Zongo,3,Semaine,Ensoleillé,Zem,1.45,1.46,3.6,0.04
Calavi,Fidjrosse,17,Weekend,Pluie Légère,Zem,9.53,1.0,20.4,0.04
Zongo,Akpakpa,5,Semaine,Ensoleillé,Bus,3.38,1.18,7.9,0.005
Calavi,Etoile,23,Semaine,Forte Pluie,Bus,12.72,1.54,78.4,0.01
Zongo,Fidjrosse,23,Semaine,Pluie Légère,Voiture,6.66,1.18,13.1,0.01
Calavi,Cadjehoun,22,Weekend,Ensoleillé,Zem,11.27,1.0,19.3,0.04
Fidjrosse,Cadjehoun,21,Semaine,Ensoleillé,Zem,3.92,1.21,8.1,0.04
Etoile,Fidjrosse,1,Weekend,Ensoleillé,Voiture,7.91,1.0,10.5,0.01
Zongo,Cadjehoun,10,Semaine,Ensoleillé,Zem,2.81,1.16,5.6,0.04
Akpakpa,Calavi,4,Weekend,Pluie Légère,Bus,14.46,1.0,36.1,0.005
Calavi,Fidjrosse,5,Weekend,Ensoleillé,Voiture,9.53,1.0,12.7,0.01
Zongo,Fidjrosse,9,Semaine,Pluie Légère,Zem,6.66,2.99,42.7,0.04
Fidjrosse,Cadjehoun,7,Semaine,Ensoleillé,Zem,3.92,3.8,25.6,0.04
